Residue,Standard,DMD,OPLSAA,Amber03,GROMOS9654a7
NTERM,H1,HN1,H1,H1,H1
NTERM,H2,HN2,H2,H2,H2
NTERM,H3,HN3,H3,H3,H3
CTERM,O1,O1,O1,O1,O1
CTERM,HO1,HO1,HO1,HO1,HO1
CTERM,O2,O2,O2,O2,O2
CTERM,HO2,HO2,HO2,HO2,HO2
ARG,HE,HE,HE,HE,HE
ARG,HH11,1HH1,HH11,HH11,HH11
ARG,HH12,1HH2,HH12,HH12,HH12
ARG,HH21,2HH1,HH21,HH21,HH21
ARG,HH22,2HH2,HH22,HH22,HH22
ASP,HD2,2HND,HD2,HD2,HD2
CYS,HG,HG1,HG,HG,HG
GLU,HE2,2HNE,HE2,HE2,HE2
HIS,HD1,HD1,HD1,HD1,HD1
HIS,HE2,HE2,HE2,HE2,HE2
HISD,HD1,HD1,HD1,HD1,HD1
HISE,HE2,HE2,HE2,HE2,HE2
LYS,HZ1,HZ1,HZ1,HZ1,HZ1
LYS,HZ2,HZ2,HZ2,HZ2,HZ2
LYS,HZ3,HZ3,HZ3,HZ3,HZ3
TYR,HH,HO,HH,HH,HH
